National,Software Engineer,"$86,563.00",1.80%
National,Programmer Analyst,"$69,129.00",0.50%
National,Consultant,"$73,408.00",1.80%
National,Project Manager,"$72,583.00",-0.60%
National,Store Manager,"$48,920.00",1.80%
National,Business Analyst,"$65,004.00",0.70%
National,Cashier,"$28,017.00",4.90%
National,Financial Analyst,"$63,367.00",2.10%
National,Administrative Assistant,"$39,430.00",1.90%
National,Accountant,"$56,398.00",2.40%
National,Sales Representative,"$47,542.00",1.00%
National,Professor,"$87,664.00",-0.10%
National,Registered Nurse,"$67,222.00",1.30%
National,Marketing Manager,"$68,526.00",1.40%
National,Operations Manager,"$67,502.00",0.40%
National,Product Manager,"$92,843.00",2.20%
National,Sales Manager,"$62,233.00",2.40%
National,Teacher,"$46,746.00",2.80%
National,Bank Teller,"$31,108.00",8.10%
National,Customer Service Manager,"$55,717.00",3.10%
National,Physical Therapist,"$72,080.00",-2.30%
National,Mechanical Engineer,"$74,739.00",3.00%
National,Recruiter,"$51,640.00",1.90%
National,Design Engineer,"$72,261.00",5.50%
National,Pharmacy Technician,"$30,780.00",2.30%
National,Graphic Designer,"$45,346.00",2.80%
National,Web Developer,"$66,558.00",4.20%
National,Business Development Manager,"$69,493.00",4.30%
National,Data Scientist,"$94,912.00",-0.20%
National,Buyer,"$58,369.00",2.30%
National,Data Analyst,"$60,374.00",1.90%
National,Electrical Engineer,"$77,717.00",1.60%
National,Attorney,"$98,208.00",1.70%
National,Human Resources Manager,"$68,388.00",1.70%
National,Technician,"$46,112.00",1.90%
National,Restaurant Cook,"$28,681.00",1.20%
National,Production Manager,"$66,225.00",2.10%
National,Manufacturing Engineer,"$71,813.00",0.50%
National,Retail Key Holder,"$29,746.00",4.90%
National,Paralegal,"$48,667.00",1.50%
National,Java Developer,"$77,096.00",5.00%
National,Warehouse Associate,"$43,961.00",6.80%
National,Property Manager,"$50,923.00",4.30%
National,Producer,"$51,702.00",-2.20%
National,Quality Engineer,"$72,798.00",1.30%
